,group,names,scores,logfoldchanges,pvals,pvals_adj
4257,untreated,TLCD,18.095436,2.6969318,3.461884226718766e-73,1.421132813069975e-71
4258,untreated,FEZ2,18.092875,2.4766037,3.6266241480382e-73,1.4845662568814401e-71
4259,untreated,STK25,18.078651,2.5713139,4.69416711147668e-73,1.9108021418481545e-71
4260,untreated,GORASP2,18.074743,1.9261843,5.0390111658110997e-73,2.045444420714159e-71
4261,untreated,MPZL,18.073528,1.6809088,5.151082328274158e-73,2.0851122115454056e-71
4262,untreated,BTG3,18.069822,1.6180083,5.5091523752133546e-73,2.223861175461124e-71
4263,untreated,PPP1R35,18.011917,3.5820827,1.5709026685616796e-72,6.3061761269442895e-71
4264,untreated,TUSC3,18.005852,2.5975876,1.752845859341136e-72,7.0171779691309605e-71
4265,untreated,PPP1R14B,18.002817,1.4750636,1.8515480023996797e-72,7.391949332657183e-71
4266,untreated,MFSD10,17.988796,1.8804318,2.384798272406119e-72,9.494763971124856e-71
4267,untreated,NDUFAF6,17.986168,2.5905068,2.5006421575457717e-72,9.928779189468623e-71
4268,untreated,STARD10,17.950441,3.9581873,4.761044674447158e-72,1.880095141550709e-70
4269,untreated,CAPN,17.905682,1.6359015,1.0648225135947072e-71,4.1934961429697246e-70
4270,untreated,RCN,17.900223,1.8865235,1.1745237400048613e-71,4.613021348581255e-70
4271,untreated,CALM,17.892065,1.5227165,1.3597270911617246e-71,5.3260253608523404e-70
4272,untreated,FLNA,17.826208,4.020584,4.4243143190950095e-71,1.723703369573423e-69
4273,untreated,FKBP1A,17.81522,1.2618939,5.384552773779378e-71,2.092201093811816e-69
4274,untreated,APOA1BP,17.792437,1.1468055,8.088545332263371e-71,3.1344730871587016e-69
4275,untreated,BOD,17.683302,2.3814342,5.6394407236977317e-70,2.1680516559993503e-68
4276,untreated,C22orf3,17.679392,2.843865,6.04440541471089e-70,2.3176068466115738e-68
4277,untreated,RNF130,17.677101,2.3743045,6.295143358398531e-70,2.4073953495854593e-68
4278,untreated,SLC25A,17.672382,1.7624983,6.844486902860115e-70,2.6106058706657002e-68
4279,untreated,NME3,17.659641,2.3341215,8.578235872729504e-70,3.2633226100132236e-68
4280,untreated,PPP1CC,17.627758,1.958674,1.5083152603166085e-69,5.708030563260666e-68
4281,untreated,DALRD3,17.608952,2.7570224,2.1030763226176466e-69,7.938157174098609e-68
